processor,os,os_version,file,time_avg_complete,time_avg_segmentating,n,method
Intel(R) Xeon(R) Silver 4210R CPU @ 2.40GHz,Linux,Linux-4.18.0-305.3.1.el8.x86_64-x86_64-with-glibc2.28,bottle25.csv,0.17152001056820154,0.0034380197525024415,10,quick_iterative
Intel(R) Xeon(R) Silver 4210R CPU @ 2.40GHz,Linux,Linux-4.18.0-305.3.1.el8.x86_64-x86_64-with-glibc2.28,person1.csv,0.08596639847382903,0.002207326889038086,10,quick_iterative
Intel(R) Xeon(R) Silver 4210R CPU @ 2.40GHz,Linux,Linux-4.18.0-305.3.1.el8.x86_64-x86_64-with-glibc2.28,bottle26.csv,0.12453810754232109,0.0007345914840698242,10,quick_iterative
Intel(R) Xeon(R) Silver 4210R CPU @ 2.40GHz,Linux,Linux-4.18.0-305.3.1.el8.x86_64-x86_64-with-glibc2.28,bottle9.csv,0.1423356755170971,0.0011487483978271484,10,quick_iterative
Intel(R) Xeon(R) Silver 4210R CPU @ 2.40GHz,Linux,Linux-4.18.0-305.3.1.el8.x86_64-x86_64-with-glibc2.28,bottle38.csv,0.22219269764609634,0.0005937099456787109,10,quick_iterative
Intel(R) Xeon(R) Silver 4210R CPU @ 2.40GHz,Linux,Linux-4.18.0-305.3.1.el8.x86_64-x86_64-with-glibc2.28,bottle10.csv,0.22079111859202386,0.002469491958618164,10,quick_iterative
Intel(R) Xeon(R) Silver 4210R CPU @ 2.40GHz,Linux,Linux-4.18.0-305.3.1.el8.x86_64-x86_64-with-glibc2.28,bottle25.csv,0.151124485116452,0.003363966941833496,10,quick_iterative
Intel(R) Xeon(R) Silver 4210R CPU @ 2.40GHz,Linux,Linux-4.18.0-305.3.1.el8.x86_64-x86_64-with-glibc2.28,person1.csv,0.20829797689802945,0.004098439216613769,10,quick_iterative
Intel(R) Xeon(R) Silver 4210R CPU @ 2.40GHz,Linux,Linux-4.18.0-305.3.1.el8.x86_64-x86_64-with-glibc2.28,bottle26.csv,0.22270342796109616,0.0009269952774047851,10,quick_iterative
Intel(R) Xeon(R) Silver 4210R CPU @ 2.40GHz,Linux,Linux-4.18.0-305.3.1.el8.x86_64-x86_64-with-glibc2.28,bottle9.csv,0.13763319347053765,0.001435065269470215,10,quick_iterative
Intel(R) Xeon(R) Silver 4210R CPU @ 2.40GHz,Linux,Linux-4.18.0-305.3.1.el8.x86_64-x86_64-with-glibc2.28,bottle38.csv,0.08364107157103717,0.0006201028823852539,10,quick_iterative
Intel(R) Xeon(R) Silver 4210R CPU @ 2.40GHz,Linux,Linux-4.18.0-305.3.1.el8.x86_64-x86_64-with-glibc2.28,bottle10.csv,0.21513211457058787,0.002762174606323242,10,quick_iterative
Intel(R) Xeon(R) Silver 4210R CPU @ 2.40GHz,Linux,Linux-4.18.0-305.3.1.el8.x86_64-x86_64-with-glibc2.28,bottle25.csv,0.129900509910658,0.0023012638092041017,10,quick_iterative
Intel(R) Xeon(R) Silver 4210R CPU @ 2.40GHz,Linux,Linux-4.18.0-305.3.1.el8.x86_64-x86_64-with-glibc2.28,person1.csv,0.2207042078487575,0.002079319953918457,10,quick_iterative
Intel(R) Xeon(R) Silver 4210R CPU @ 2.40GHz,Linux,Linux-4.18.0-305.3.1.el8.x86_64-x86_64-with-glibc2.28,bottle26.csv,0.14309966103173793,0.0006783485412597656,10,quick_iterative
Intel(R) Xeon(R) Silver 4210R CPU @ 2.40GHz,Linux,Linux-4.18.0-305.3.1.el8.x86_64-x86_64-with-glibc2.28,bottle9.csv,0.13158253077417612,0.0010957717895507812,10,quick_iterative
Intel(R) Xeon(R) Silver 4210R CPU @ 2.40GHz,Linux,Linux-4.18.0-305.3.1.el8.x86_64-x86_64-with-glibc2.28,bottle38.csv,0.1573657815810293,0.00046982765197753904,10,quick_iterative
Intel(R) Xeon(R) Silver 4210R CPU @ 2.40GHz,Linux,Linux-4.18.0-305.3.1.el8.x86_64-x86_64-with-glibc2.28,bottle10.csv,0.20503976605832577,0.0024958133697509767,10,quick_iterative
Intel(R) Xeon(R) Silver 4210R CPU @ 2.40GHz,Linux,Linux-4.18.0-305.3.1.el8.x86_64-x86_64-with-glibc2.28,bottle25.csv,0.13050206890329719,0.002719569206237793,10,quick_iterative
Intel(R) Xeon(R) Silver 4210R CPU @ 2.40GHz,Linux,Linux-4.18.0-305.3.1.el8.x86_64-x86_64-with-glibc2.28,person1.csv,0.09892633683048188,0.004131865501403808,10,quick_iterative
Intel(R) Xeon(R) Silver 4210R CPU @ 2.40GHz,Linux,Linux-4.18.0-305.3.1.el8.x86_64-x86_64-with-glibc2.28,bottle26.csv,0.15162787036970257,0.0006910085678100586,10,quick_iterative
Intel(R) Xeon(R) Silver 4210R CPU @ 2.40GHz,Linux,Linux-4.18.0-305.3.1.el8.x86_64-x86_64-with-glibc2.28,bottle9.csv,0.11305158189497888,0.0016367197036743163,10,quick_iterative
Intel(R) Xeon(R) Silver 4210R CPU @ 2.40GHz,Linux,Linux-4.18.0-305.3.1.el8.x86_64-x86_64-with-glibc2.28,bottle38.csv,0.11088580340147018,0.00047571659088134765,10,quick_iterative
Intel(R) Xeon(R) Silver 4210R CPU @ 2.40GHz,Linux,Linux-4.18.0-305.3.1.el8.x86_64-x86_64-with-glibc2.28,bottle10.csv,0.1917639395687729,0.0022056102752685547,10,quick_iterative
Intel(R) Xeon(R) Silver 4210R CPU @ 2.40GHz,Linux,Linux-4.18.0-305.3.1.el8.x86_64-x86_64-with-glibc2.28,bottle47.csv,1.4471013362519443,0.000457453727722168,10,quick_iterative
Intel(R) Xeon(R) Silver 4210R CPU @ 2.40GHz,Linux,Linux-4.18.0-305.3.1.el8.x86_64-x86_64-with-glibc2.28,bottle16.csv,0.4157700990792364,0.0003842353820800781,10,quick_iterative
Intel(R) Xeon(R) Silver 4210R CPU @ 2.40GHz,Linux,Linux-4.18.0-305.3.1.el8.x86_64-x86_64-with-glibc2.28,bottle35.csv,0.4153604139573872,0.00043230056762695314,10,quick_iterative
Intel(R) Xeon(R) Silver 4210R CPU @ 2.40GHz,Linux,Linux-4.18.0-305.3.1.el8.x86_64-x86_64-with-glibc2.28,bottle44.csv,0.36469868146814405,0.0010984182357788087,10,quick_iterative
